,Year,State,County,Population,Rate
2,2003.0,AZ,Cochise County,120638.0,0.009118188298877634
5,2003.0,AZ,Coconino County,122882.0,0.008951677218795268
12,2003.0,AZ,Maricopa County,3328468.0,0.011056137538350977
18,2003.0,AZ,Mohave County,172633.0,0.006371898767906484
23,2003.0,AZ,Pima County,885893.0,0.017947991461722802
27,2003.0,AZ,Pinal County,207920.0,0.00865717583686033
31,2003.0,AZ,Yavapai County,182090.0,0.00823768466143116
36,2003.0,CO,Adams County,377464.0,0.01112688892185745
41,2003.0,CO,Arapahoe County,513690.0,0.008760147170472464
48,2003.0,CO,Boulder County,278768.0,0.007174424611146185
60,2003.0,CO,Denver County,552588.0,0.01936343170680507
68,2003.0,CO,El Paso County,547549.0,0.009679499003742131
78,2003.0,CO,Jefferson County,524940.0,0.009524898083590506
87,2003.0,CO,Larimer County,268448.0,0.008567767314340207
106,2003.0,CO,Pueblo County,147907.0,0.00676100522625704
118,2003.0,CO,Weld County,208858.0,0.005266736251424413
122,2003.0,FL,Alachua County,227022.0,0.004845345385028764
126,2003.0,FL,Bay County,155044.0,0.013544542194473827
130,2003.0,FL,Brevard County,504847.0,0.019213741985195515
134,2003.0,FL,Broward County,1707543.0,0.013469646152395577
141,2003.0,FL,Citrus County,126215.0,0.01267678168205047
144,2003.0,FL,Clay County,155620.0,0.010281454825857858
146,2003.0,FL,Collier County,285321.0,0.010163990733244312
152,2003.0,FL,Duval County,809633.0,0.01568611951340916
156,2003.0,FL,Escambia County,296603.0,0.009103077177236914
168,2003.0,FL,Hernando County,142686.0,0.010512594087717084
170,2003.0,FL,Highlands County,90943.0,0.010995898529848367
173,2003.0,FL,Hillsborough County,1077462.0,0.01169414791426519
179,2003.0,FL,Indian River County,120450.0,0.008302200083022002
184,2003.0,FL,Lake County,241489.0,0.0070396581210738374
187,2003.0,FL,Lee County,497662.0,0.015472348702533046
191,2003.0,FL,Leon County,250673.0,0.0043881870005943995
197,2003.0,FL,Manatee County,287000.0,0.014634146341463414
200,2003.0,FL,Marion County,280091.0,0.01535215340728549
204,2003.0,FL,Martin County,136598.0,0.010981127102885839
207,2003.0,FL,Miami-Dade County,2336070.0,0.004023852024982128
212,2003.0,FL,Monroe County,78497.0,0.021656878606825736
216,2003.0,FL,Okaloosa County,177649.0,0.011258155126119482
220,2003.0,FL,Orange County,979227.0,0.008476073474281245
223,2003.0,FL,Osceola County,202687.0,0.005920458638195839
225,2003.0,FL,Palm Beach County,1218100.0,0.016336918151219113
229,2003.0,FL,Pasco County,383238.0,0.016177936425928536
233,2003.0,FL,Pinellas County,926266.0,0.014574647023641156
237,2003.0,FL,Polk County,513058.0,0.008186208966627556
243,2003.0,FL,St. Lucie County,214924.0,0.009770895758500679
