,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
0,CO,ADAMS,1,2006,268213222.1125
1,CO,ADAMS,2,2006,5509247482.233
2,CO,ADAMS,3,2006,10430536638.77
3,CO,ADAMS,4,2006,7825269744.929999
4,CO,ADAMS,5,2006,10446456277.48275
5,CO,ADAMS,6,2006,11760551374.174425
6,CO,ADAMS,7,2006,10156832175.900312
7,CO,ADAMS,8,2006,12865790619.296476
8,CO,ADAMS,9,2006,9420690960.79655
9,CO,ADAMS,10,2006,15240202907.9204
10,CO,ADAMS,11,2006,18606626138.66805
11,CO,ADAMS,12,2006,14078838234.552176
12,CO,ADAMS,1,2007,310137520.84000003
13,CO,ADAMS,2,2007,9552331156.375763
14,CO,ADAMS,3,2007,11363098299.974
15,CO,ADAMS,4,2007,10507359416.399801
16,CO,ADAMS,5,2007,14047017250.81295
17,CO,ADAMS,6,2007,11845141906.361736
18,CO,ADAMS,7,2007,13736062053.427675
19,CO,ADAMS,8,2007,14807248318.882702
20,CO,ADAMS,9,2007,11793999264.381863
21,CO,ADAMS,10,2007,24459422716.27594
22,CO,ADAMS,11,2007,24283418161.174377
23,CO,ADAMS,12,2007,22207999889.222347
24,CO,ADAMS,1,2008,143778023.6685
25,CO,ADAMS,2,2008,15830103401.542925
26,CO,ADAMS,3,2008,15673928654.417852
27,CO,ADAMS,4,2008,16564499162.11575
28,CO,ADAMS,5,2008,14810348112.951561
29,CO,ADAMS,6,2008,14297797160.7462
30,CO,ADAMS,7,2008,18547453940.31395
31,CO,ADAMS,8,2008,17774235688.047
32,CO,ADAMS,9,2008,18204504017.315697
33,CO,ADAMS,10,2008,33161530724.901424
34,CO,ADAMS,11,2008,26024482281.97525
35,CO,ADAMS,12,2008,34910808743.34322
36,CO,ADAMS,1,2009,187898679.35000002
37,CO,ADAMS,2,2009,14591334652.199938
38,CO,ADAMS,3,2009,18966555622.8483
39,CO,ADAMS,4,2009,23027947327.6604
40,CO,ADAMS,5,2009,19948306476.95699
41,CO,ADAMS,6,2009,22023427392.34594
42,CO,ADAMS,7,2009,24327123124.966274
43,CO,ADAMS,8,2009,20523515838.984375
44,CO,ADAMS,9,2009,24575981468.093163
45,CO,ADAMS,10,2009,36734563767.422325
46,CO,ADAMS,11,2009,32611546090.9
47,CO,ADAMS,12,2009,46014194756.54957
48,CO,ADAMS,1,2010,58727809.0
49,CO,ADAMS,2,2010,23248687515.10635
50,CO,ADAMS,3,2010,31415215184.97105
51,CO,ADAMS,4,2010,26915219824.657497
52,CO,ADAMS,5,2010,26564811341.8875
53,CO,ADAMS,6,2010,31311967154.714397
54,CO,ADAMS,7,2010,31323141323.622223
55,CO,ADAMS,8,2010,31769447264.905346
56,CO,ADAMS,9,2010,31483975983.449993
57,CO,ADAMS,10,2010,37844976178.122406
58,CO,ADAMS,11,2010,43326890202.342606
59,CO,ADAMS,12,2010,48964229265.840004
60,CO,ADAMS,1,2011,473025065.62499994
61,CO,ADAMS,2,2011,27854774166.477497
62,CO,ADAMS,3,2011,42560124250.12945
63,CO,ADAMS,4,2011,33141129583.133247
64,CO,ADAMS,5,2011,34368817489.67355
65,CO,ADAMS,6,2011,39792309220.84246
66,CO,ADAMS,7,2011,31157497308.715424
67,CO,ADAMS,8,2011,41478497686.05341
68,CO,ADAMS,9,2011,36386764296.89503
69,CO,ADAMS,10,2011,51599013279.6765
70,CO,ADAMS,11,2011,62168370623.02743
71,CO,ADAMS,12,2011,41415944547.99488
72,CO,ADAMS,1,2012,773771563.768
73,CO,ADAMS,2,2012,32676273910.725895
74,CO,ADAMS,3,2012,37212444518.00624
75,CO,ADAMS,4,2012,32709170270.56034
76,CO,ADAMS,5,2012,39905719648.491936
77,CO,ADAMS,6,2012,32373923450.0715
78,CO,ADAMS,7,2012,32254321923.871647
79,CO,ADAMS,8,2012,40438549141.344376
80,CO,ADAMS,9,2012,28983672847.95675
81,CO,ADAMS,10,2012,64883696077.70709
82,CO,ADAMS,11,2012,65202286994.852
83,CO,ADAMS,12,2012,50633629403.53205
84,CO,ADAMS,1,2013,425841550.0
85,CO,ADAMS,2,2013,22835409340.869297
86,CO,ADAMS,3,2013,25115491342.366077
87,CO,ADAMS,4,2013,27398910679.531586
88,CO,ADAMS,5,2013,25571457272.038273
89,CO,ADAMS,6,2013,25282199517.5295
90,CO,ADAMS,7,2013,35236284604.4394
91,CO,ADAMS,8,2013,28874214321.79941
92,CO,ADAMS,9,2013,30916198337.222103
93,CO,ADAMS,10,2013,64568073130.43212
94,CO,ADAMS,11,2013,46594229822.176025
95,CO,ADAMS,12,2013,55748775974.2948
96,CO,ADAMS,1,2014,840096153.0450001
97,CO,ADAMS,2,2014,27364380468.91515
98,CO,ADAMS,3,2014,29389409690.552425
99,CO,ADAMS,4,2014,31489757778.0214
100,CO,ADAMS,5,2014,29284870035.98245
101,CO,ADAMS,6,2014,29651948972.162884
102,CO,ADAMS,7,2014,34692951248.56507
103,CO,ADAMS,8,2014,29748716889.292496
104,CO,ADAMS,9,2014,32531930132.4141
105,CO,ADAMS,10,2014,54336468062.57887
106,CO,ADAMS,11,2014,40241356758.52891
107,CO,ADAMS,12,2014,58001996803.66847
108,CO,ALAMOSA,1,2006,11207782.1
109,CO,ALAMOSA,2,2006,96988801.35
110,CO,ALAMOSA,3,2006,94262475.8
111,CO,ALAMOSA,4,2006,129981886.188
112,CO,ALAMOSA,5,2006,140528660.125
113,CO,ALAMOSA,6,2006,147008358.357
114,CO,ALAMOSA,7,2006,110039378.75
115,CO,ALAMOSA,8,2006,141570302.128
116,CO,ALAMOSA,9,2006,144303146.74875
117,CO,ALAMOSA,10,2006,306116792.8
118,CO,ALAMOSA,11,2006,286246798.92585
119,CO,ALAMOSA,12,2006,190185741.79024997
120,CO,ALAMOSA,1,2007,6931924.725
121,CO,ALAMOSA,2,2007,151404069.99565
122,CO,ALAMOSA,3,2007,150638469.60085
123,CO,ALAMOSA,4,2007,143842671.533925
124,CO,ALAMOSA,5,2007,197667589.45931253
125,CO,ALAMOSA,6,2007,181481105.70720002
126,CO,ALAMOSA,7,2007,169553516.261175
127,CO,ALAMOSA,8,2007,209911898.78485
128,CO,ALAMOSA,9,2007,165234624.0438
129,CO,ALAMOSA,10,2007,403018590.2463
130,CO,ALAMOSA,11,2007,305729346.65437496
131,CO,ALAMOSA,12,2007,248510727.1365
132,CO,ALAMOSA,1,2008,1738096.917375
133,CO,ALAMOSA,2,2008,215619369.19002503
134,CO,ALAMOSA,3,2008,228567119.43563747
135,CO,ALAMOSA,4,2008,282775316.7888
136,CO,ALAMOSA,5,2008,177169131.115
137,CO,ALAMOSA,6,2008,228424093.55615
