,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
0,FL,ALACHUA,1,2006,373016769.125
1,FL,ALACHUA,2,2006,9700292050.059
2,FL,ALACHUA,3,2006,13531754426.769001
3,FL,ALACHUA,4,2006,9315781888.0
4,FL,ALACHUA,5,2006,12662768909.9144
5,FL,ALACHUA,6,2006,11979793744.06785
6,FL,ALACHUA,7,2006,10517433056.274263
7,FL,ALACHUA,8,2006,12486932641.1291
8,FL,ALACHUA,9,2006,10816320330.909111
9,FL,ALACHUA,10,2006,17321008417.366085
10,FL,ALACHUA,11,2006,22028330993.04605
11,FL,ALACHUA,12,2006,17373199743.82185
12,FL,ALACHUA,1,2007,525372828.79449993
13,FL,ALACHUA,2,2007,11476706956.988174
14,FL,ALACHUA,3,2007,12918300872.217512
15,FL,ALACHUA,4,2007,11486327169.431887
16,FL,ALACHUA,5,2007,15167881491.714
17,FL,ALACHUA,6,2007,11957957453.1417
18,FL,ALACHUA,7,2007,15178229016.902874
19,FL,ALACHUA,8,2007,15397909290.464827
20,FL,ALACHUA,9,2007,11744286348.7503
21,FL,ALACHUA,10,2007,26307551017.027424
22,FL,ALACHUA,11,2007,21947163911.299026
23,FL,ALACHUA,12,2007,23985602018.8323
24,FL,ALACHUA,1,2008,282832142.5017
25,FL,ALACHUA,2,2008,14005724339.98099
26,FL,ALACHUA,3,2008,13469984231.397787
27,FL,ALACHUA,4,2008,17249784032.475937
28,FL,ALACHUA,5,2008,16956759174.351152
29,FL,ALACHUA,6,2008,17451652796.0614
30,FL,ALACHUA,7,2008,18816159444.258987
31,FL,ALACHUA,8,2008,20000718374.149498
32,FL,ALACHUA,9,2008,18507773380.439564
33,FL,ALACHUA,10,2008,33986086953.0966
34,FL,ALACHUA,11,2008,24881837117.08383
35,FL,ALACHUA,12,2008,36873728024.759384
36,FL,ALACHUA,1,2009,121429072.35000001
37,FL,ALACHUA,2,2009,15958780406.839249
38,FL,ALACHUA,3,2009,22697177547.97204
39,FL,ALACHUA,4,2009,22691140296.44573
40,FL,ALACHUA,5,2009,20001671387.926125
41,FL,ALACHUA,6,2009,23659510457.294884
42,FL,ALACHUA,7,2009,26294566612.055
43,FL,ALACHUA,8,2009,21160726430.328625
44,FL,ALACHUA,9,2009,24090303410.40018
45,FL,ALACHUA,10,2009,38338681089.36713
46,FL,ALACHUA,11,2009,32018503128.858772
47,FL,ALACHUA,12,2009,44681499599.43233
48,FL,ALACHUA,1,2010,80561285.89999999
49,FL,ALACHUA,2,2010,19667331543.128174
50,FL,ALACHUA,3,2010,26456621318.14481
51,FL,ALACHUA,4,2010,21122160823.848824
52,FL,ALACHUA,5,2010,20875234837.303055
53,FL,ALACHUA,6,2010,24579587798.25575
54,FL,ALACHUA,7,2010,20051468997.07785
55,FL,ALACHUA,8,2010,23707967852.98948
56,FL,ALACHUA,9,2010,24850156390.631065
57,FL,ALACHUA,10,2010,33846608354.0
58,FL,ALACHUA,11,2010,41050516907.75961
59,FL,ALACHUA,12,2010,46689688524.143616
60,FL,ALACHUA,1,2011,259159282.25
61,FL,ALACHUA,2,2011,19182066116.83395
62,FL,ALACHUA,3,2011,28541305031.026134
63,FL,ALACHUA,4,2011,18652411567.911263
64,FL,ALACHUA,5,2011,22462201751.799927
65,FL,ALACHUA,6,2011,24817099146.211876
66,FL,ALACHUA,7,2011,19332580772.602398
67,FL,ALACHUA,8,2011,23594797431.922123
68,FL,ALACHUA,9,2011,21854906352.972088
69,FL,ALACHUA,10,2011,28494768383.952484
70,FL,ALACHUA,11,2011,42336439199.58285
71,FL,ALACHUA,12,2011,36020563187.99689
72,FL,ALACHUA,1,2012,520070437.77356255
73,FL,ALACHUA,2,2012,19279409472.96525
74,FL,ALACHUA,3,2012,20751570042.075928
75,FL,ALACHUA,4,2012,18756897368.383076
76,FL,ALACHUA,5,2012,21606901397.78925
77,FL,ALACHUA,6,2012,18841946371.034702
78,FL,ALACHUA,7,2012,18428762577.65656
79,FL,ALACHUA,8,2012,16971344090.774837
80,FL,ALACHUA,9,2012,14391520454.220652
81,FL,ALACHUA,10,2012,28749334682.44365
82,FL,ALACHUA,11,2012,30592886363.845577
83,FL,ALACHUA,12,2012,27737668281.86164
84,FL,ALACHUA,1,2013,300462411.84999996
85,FL,ALACHUA,2,2013,15110640766.440224
86,FL,ALACHUA,3,2013,16147196960.699999
87,FL,ALACHUA,4,2013,15503018551.0
88,FL,ALACHUA,5,2013,18286785609.945
89,FL,ALACHUA,6,2013,15472965064.657501
90,FL,ALACHUA,7,2013,14701734480.780003
91,FL,ALACHUA,8,2013,16717265090.73
92,FL,ALACHUA,9,2013,13397155926.69
93,FL,ALACHUA,10,2013,32622758751.62332
94,FL,ALACHUA,11,2013,23476827048.4121
95,FL,ALACHUA,12,2013,27532765850.1
96,FL,ALACHUA,1,2014,410610735.925
97,FL,ALACHUA,2,2014,12485014624.44
98,FL,ALACHUA,3,2014,14876253367.637499
99,FL,ALACHUA,4,2014,15847672113.449999
100,FL,ALACHUA,5,2014,13777305983.08
101,FL,ALACHUA,6,2014,13102657281.699999
102,FL,ALACHUA,7,2014,16230687143.395
103,FL,ALACHUA,8,2014,13293489169.84
104,FL,ALACHUA,9,2014,15024303964.439999
