,BUYER_STATE,BUYER_COUNTY,YEAR,MME
0,LA,ACADIA,2006,116913305072.00339
1,LA,ACADIA,2007,131525592639.59033
2,LA,ACADIA,2008,128170518177.5241
3,LA,ACADIA,2009,157244566113.60263
4,LA,ACADIA,2010,184500379756.35367
5,LA,ACADIA,2011,190978070782.36725
6,LA,ACADIA,2012,179942375142.58884
7,LA,ACADIA,2013,160596588416.6475
8,LA,ACADIA,2014,124930404573.76958
9,LA,ALLEN,2006,22550317130.594315
10,LA,ALLEN,2007,25824673179.306263
11,LA,ALLEN,2008,30488819776.34415
12,LA,ALLEN,2009,29172042516.3748
13,LA,ALLEN,2010,29967423053.1438
14,LA,ALLEN,2011,41050894524.9291
15,LA,ALLEN,2012,44753342587.72526
16,LA,ALLEN,2013,45087613571.41501
17,LA,ALLEN,2014,34231030114.206013
18,LA,ASCENSION,2006,385000450622.53436
19,LA,ASCENSION,2007,557838911557.5648
20,LA,ASCENSION,2008,749881289332.1553
21,LA,ASCENSION,2009,721938248158.4426
22,LA,ASCENSION,2010,635714809553.4174
23,LA,ASCENSION,2011,619021352618.5796
24,LA,ASCENSION,2012,725966581124.0375
25,LA,ASCENSION,2013,763621404441.6454
26,LA,ASCENSION,2014,576306259674.9471
27,LA,ASSUMPTION,2006,1535277321.9850001
28,LA,ASSUMPTION,2007,2061155117.494
29,LA,ASSUMPTION,2008,2554459200.638
30,LA,ASSUMPTION,2009,1575358470.0
31,LA,ASSUMPTION,2010,1349495884.8
32,LA,ASSUMPTION,2011,1997257165.3125
33,LA,ASSUMPTION,2012,1878695401.0575001
34,LA,ASSUMPTION,2013,1508935990.5
35,LA,ASSUMPTION,2014,1539845206.625
36,LA,AVOYELLES,2006,60798371478.38201
37,LA,AVOYELLES,2007,70680885901.8794
38,LA,AVOYELLES,2008,81807675934.5755
39,LA,AVOYELLES,2009,82010583549.025
40,LA,AVOYELLES,2010,78665071266.5625
41,LA,AVOYELLES,2011,93626026894.5525
42,LA,AVOYELLES,2012,107904933497.19
43,LA,AVOYELLES,2013,110799212139.275
44,LA,AVOYELLES,2014,96998353060.64499
45,LA,BEAUREGARD,2006,11140985871.434101
46,LA,BEAUREGARD,2007,13285721558.329876
47,LA,BEAUREGARD,2008,16140485871.962812
48,LA,BEAUREGARD,2009,23447196490.04145
49,LA,BEAUREGARD,2010,34098210947.92159
50,LA,BEAUREGARD,2011,40358912328.43805
51,LA,BEAUREGARD,2012,44479872224.169785
52,LA,BEAUREGARD,2013,33748559213.6994
53,LA,BEAUREGARD,2014,23916359323.783276
54,LA,BIENVILLE,2006,1610922490.539975
55,LA,BIENVILLE,2007,1679484813.9140625
56,LA,BIENVILLE,2008,1756875470.3332126
57,LA,BIENVILLE,2009,2084026677.6552
58,LA,BIENVILLE,2010,2643474492.225
59,LA,BIENVILLE,2011,2976661307.7822247
60,LA,BIENVILLE,2012,2969041759.5477495
61,LA,BIENVILLE,2013,3140436560.175
62,LA,BIENVILLE,2014,2368951950.4
63,LA,BOSSIER,2006,185017868440.15637
64,LA,BOSSIER,2007,217976568043.8066
65,LA,BOSSIER,2008,260404935459.20425
66,LA,BOSSIER,2009,274221257546.19318
67,LA,BOSSIER,2010,296438040425.7241
68,LA,BOSSIER,2011,326311943890.5854
69,LA,BOSSIER,2012,299107596971.82715
70,LA,BOSSIER,2013,318056736677.5591
71,LA,BOSSIER,2014,311291198942.45667
72,LA,CADDO,2006,1716902343844.384
73,LA,CADDO,2007,1989410805744.4797
74,LA,CADDO,2008,2264788443626.13
75,LA,CADDO,2009,2419275490043.0615
76,LA,CADDO,2010,2405134484855.8916
77,LA,CADDO,2011,2477360013358.141
78,LA,CADDO,2012,2563179885650.7534
79,LA,CADDO,2013,2541335299069.344
80,LA,CADDO,2014,2200055808684.497
81,LA,CALCASIEU,2006,1214015129975.426
82,LA,CALCASIEU,2007,1331932281185.513
83,LA,CALCASIEU,2008,1491738010826.3103
