,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
0,OK,ADAIR,1,2006,1290610.2
1,OK,ADAIR,2,2006,36114070.9215
2,OK,ADAIR,3,2006,44563911.428500004
3,OK,ADAIR,4,2006,40028660.604
4,OK,ADAIR,5,2006,56820920.019
5,OK,ADAIR,6,2006,44910685.545
6,OK,ADAIR,7,2006,42493683.888
7,OK,ADAIR,8,2006,60596397.263050005
8,OK,ADAIR,9,2006,36820116.978275
9,OK,ADAIR,10,2006,102829184.48600002
10,OK,ADAIR,11,2006,89380845.31135
11,OK,ADAIR,12,2006,62493548.03136251
12,OK,ADAIR,1,2007,2707528.5999999996
13,OK,ADAIR,2,2007,47049575.022300005
14,OK,ADAIR,3,2007,52881465.3228875
15,OK,ADAIR,4,2007,62803758.3473125
16,OK,ADAIR,5,2007,63007633.150000006
17,OK,ADAIR,6,2007,83645879.5563625
18,OK,ADAIR,7,2007,67232445.04998751
19,OK,ADAIR,8,2007,103136232.30716251
20,OK,ADAIR,9,2007,73852031.913625
21,OK,ADAIR,10,2007,171846292.7484
22,OK,ADAIR,11,2007,114084946.394475
23,OK,ADAIR,12,2007,150959271.1194
24,OK,ADAIR,1,2008,586632.6
25,OK,ADAIR,2,2008,95235566.12779999
26,OK,ADAIR,3,2008,120216634.0964875
27,OK,ADAIR,4,2008,127152798.24194999
28,OK,ADAIR,5,2008,108142999.905525
29,OK,ADAIR,6,2008,99697370.962075
30,OK,ADAIR,7,2008,107002276.80000001
31,OK,ADAIR,8,2008,120409611.27499999
32,OK,ADAIR,9,2008,159078709.2987
33,OK,ADAIR,10,2008,260288321.388375
34,OK,ADAIR,11,2008,181139994.66485
35,OK,ADAIR,12,2008,203538721.34010002
36,OK,ADAIR,1,2009,251736.75
37,OK,ADAIR,2,2009,124103891.761725
38,OK,ADAIR,3,2009,181264602.56
39,OK,ADAIR,4,2009,124402704.11392501
40,OK,ADAIR,5,2009,162480308.72645
41,OK,ADAIR,6,2009,136899189.34155
42,OK,ADAIR,7,2009,135271758.5625
43,OK,ADAIR,8,2009,181811202.9507
44,OK,ADAIR,9,2009,148874901.04000002
45,OK,ADAIR,10,2009,228901316.22382498
46,OK,ADAIR,11,2009,254876114.4829875
47,OK,ADAIR,12,2009,263672788.7961
48,OK,ADAIR,1,2010,1656361.0
49,OK,ADAIR,2,2010,142828592.2185875
50,OK,ADAIR,3,2010,205797226.3416
51,OK,ADAIR,4,2010,176677273.5
52,OK,ADAIR,5,2010,170253360.35388747
53,OK,ADAIR,6,2010,194106557.3384875
54,OK,ADAIR,7,2010,200561639.93495
55,OK,ADAIR,8,2010,157072075.65
56,OK,ADAIR,9,2010,242011261.79999998
57,OK,ADAIR,10,2010,293478985.575
58,OK,ADAIR,11,2010,362921974.45454997
