,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
0,WA,ADAMS,1,2006,533185.725
1,WA,ADAMS,2,2006,17091506.25
2,WA,ADAMS,3,2006,18304580.0
3,WA,ADAMS,4,2006,16670837.624999998
4,WA,ADAMS,5,2006,17479445.652000003
5,WA,ADAMS,6,2006,19651918.958
6,WA,ADAMS,7,2006,12791017.687499998
7,WA,ADAMS,8,2006,27034996.724999998
8,WA,ADAMS,9,2006,12643213.593500001
9,WA,ADAMS,10,2006,27110432.825
10,WA,ADAMS,11,2006,29433335.699999996
11,WA,ADAMS,12,2006,26109698.025000002
12,WA,ADAMS,1,2007,264702.57499999995
13,WA,ADAMS,2,2007,24473247.175
14,WA,ADAMS,3,2007,23459666.587500002
15,WA,ADAMS,4,2007,20500651.35
16,WA,ADAMS,5,2007,23090250.5
17,WA,ADAMS,6,2007,21998336.475
18,WA,ADAMS,7,2007,17416495.8
19,WA,ADAMS,8,2007,23499994.125
20,WA,ADAMS,9,2007,20133475.7
21,WA,ADAMS,10,2007,41791127.287499994
22,WA,ADAMS,11,2007,44287755.0625
23,WA,ADAMS,12,2007,40521270.050000004
24,WA,ADAMS,1,2008,82897.95
25,WA,ADAMS,2,2008,21363027.3125
26,WA,ADAMS,3,2008,24399288.974999998
27,WA,ADAMS,4,2008,38686860.550000004
28,WA,ADAMS,5,2008,30651588.2
29,WA,ADAMS,6,2008,26443893.0
30,WA,ADAMS,7,2008,36521742.199999996
31,WA,ADAMS,8,2008,42136984.0
32,WA,ADAMS,9,2008,44214069.175
33,WA,ADAMS,10,2008,59014379.37500001
34,WA,ADAMS,11,2008,45242887.375
35,WA,ADAMS,12,2008,58344408.00000001
36,WA,ADAMS,1,2009,273467.47500000003
37,WA,ADAMS,2,2009,19330645.6
38,WA,ADAMS,3,2009,23831121.875
39,WA,ADAMS,4,2009,40105895.699999996
40,WA,ADAMS,5,2009,24697273.6375
41,WA,ADAMS,6,2009,39417027.075
42,WA,ADAMS,7,2009,55785730.375
43,WA,ADAMS,8,2009,35062020.0
44,WA,ADAMS,9,2009,39867585.449999996
45,WA,ADAMS,10,2009,74923710.0
46,WA,ADAMS,11,2009,90649620.75
47,WA,ADAMS,12,2009,100734729.39999999
48,WA,ADAMS,1,2010,51954.75
49,WA,ADAMS,2,2010,32531199.225
50,WA,ADAMS,3,2010,49314912.375
51,WA,ADAMS,4,2010,52613637.7875
52,WA,ADAMS,5,2010,52263369.1125
53,WA,ADAMS,6,2010,72011177.475
54,WA,ADAMS,7,2010,55156421.6
55,WA,ADAMS,8,2010,55105151.85
56,WA,ADAMS,9,2010,50559005.699999996
57,WA,ADAMS,10,2010,76950048.1
58,WA,ADAMS,11,2010,82913711.99999999
59,WA,ADAMS,12,2010,89071175.71249999
60,WA,ADAMS,1,2011,688493.425
61,WA,ADAMS,2,2011,37927036.762499996
62,WA,ADAMS,3,2011,62828454.96249999
63,WA,ADAMS,4,2011,48595096.0
64,WA,ADAMS,5,2011,43807736.375
65,WA,ADAMS,6,2011,73998123.7625
66,WA,ADAMS,7,2011,58870497.9625
67,WA,ADAMS,8,2011,66083028.375
68,WA,ADAMS,9,2011,61438527.00000001
69,WA,ADAMS,10,2011,98289753.8
70,WA,ADAMS,11,2011,124807272.525
71,WA,ADAMS,12,2011,87626910.6125
72,WA,ADAMS,1,2012,988790.6000000001
73,WA,ADAMS,2,2012,51681530.625
74,WA,ADAMS,3,2012,63573182.64
75,WA,ADAMS,4,2012,62143661.474999994
76,WA,ADAMS,5,2012,75263276.1775
77,WA,ADAMS,6,2012,51045135.537499994
78,WA,ADAMS,7,2012,67478334.105
79,WA,ADAMS,8,2012,68280873.375
80,WA,ADAMS,9,2012,65368532.8125
81,WA,ADAMS,10,2012,86348954.6
82,WA,ADAMS,11,2012,112459158.24
83,WA,ADAMS,12,2012,90866697.765
84,WA,ADAMS,1,2013,800474.9625
85,WA,ADAMS,2,2013,41595870.25
86,WA,ADAMS,3,2013,41228631.6
87,WA,ADAMS,4,2013,52074754.199999996
88,WA,ADAMS,5,2013,46110382.05
89,WA,ADAMS,6,2013,55201511.2
90,WA,ADAMS,7,2013,67807727.825
91,WA,ADAMS,8,2013,51988082.625
92,WA,ADAMS,9,2013,56397518.75
93,WA,ADAMS,10,2013,92335136.62500001
94,WA,ADAMS,11,2013,76974626.5
95,WA,ADAMS,12,2013,95566967.0
96,WA,ADAMS,1,2014,985998.2
97,WA,ADAMS,2,2014,48620207.55
98,WA,ADAMS,3,2014,47561017.8
99,WA,ADAMS,4,2014,40369236.6
100,WA,ADAMS,5,2014,46134927.0
101,WA,ADAMS,6,2014,49616815.87499999
102,WA,ADAMS,7,2014,62236603.12499999
103,WA,ADAMS,8,2014,63136032.25
104,WA,ADAMS,9,2014,31745536.062500004
105,WA,ADAMS,10,2014,57893317.25
106,WA,ADAMS,11,2014,54275857.5
107,WA,ADAMS,12,2014,67629317.0
108,WA,ASOTIN,1,2006,635518.6499999999
109,WA,ASOTIN,2,2006,105498085.27499999
110,WA,ASOTIN,3,2006,138118459.76250002
111,WA,ASOTIN,4,2006,98396953.675
112,WA,ASOTIN,5,2006,115948169.584
113,WA,ASOTIN,6,2006,165761200.95
114,WA,ASOTIN,7,2006,123449337.44999999
115,WA,ASOTIN,8,2006,138178531.75
116,WA,ASOTIN,9,2006,127437624.90000002
117,WA,ASOTIN,10,2006,257563575.675
118,WA,ASOTIN,11,2006,223209847.12499997
119,WA,ASOTIN,12,2006,257795902.72499996
120,WA,ASOTIN,1,2007,2853195.6750000003
121,WA,ASOTIN,2,2007,91128216.0
122,WA,ASOTIN,3,2007,72924048.39999999
123,WA,ASOTIN,4,2007,76994576.7
124,WA,ASOTIN,5,2007,120892194.3
125,WA,ASOTIN,6,2007,129298315.57499999
126,WA,ASOTIN,7,2007,135559872.15
127,WA,ASOTIN,8,2007,86519158.125
128,WA,ASOTIN,9,2007,89495752.375
129,WA,ASOTIN,10,2007,199573776.29999998
130,WA,ASOTIN,11,2007,293535425.0
131,WA,ASOTIN,12,2007,204864033.25
132,WA,ASOTIN,1,2008,136337.1
133,WA,ASOTIN,2,2008,94155643.80999999
134,WA,ASOTIN,3,2008,116598830.3325
135,WA,ASOTIN,4,2008,113830805.32499999
136,WA,ASOTIN,5,2008,112286880.525
137,WA,ASOTIN,6,2008,117329648.75
138,WA,ASOTIN,7,2008,123528229.9875
139,WA,ASOTIN,8,2008,119838641.1
140,WA,ASOTIN,9,2008,139358966.9
141,WA,ASOTIN,10,2008,261992916.38844997
