,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
0,Anderson County,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58493,58394,58059,57960,57829,57639,57526,58175,57974,57735,both
1,Andrews County,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14849,15386,16105,16779,17435,18072,17791,17603,18011,18705,both
2,Angelina County,80270,80273,80803,81510,82070,82553,83810,84518,84961,86029,86905,87297,87509,87312,87567,87829,87682,87572,86810,86715,both
3,Aransas County,22452,22287,22616,22843,23067,23561,23395,23172,23225,23291,23181,23216,23459,23889,24566,24800,25162,25392,23446,23510,both
4,Archer County,8966,8849,8942,9013,9078,9068,9063,9026,9104,9023,9118,8840,8816,8801,8844,8763,8781,8783,8700,8553,both
5,Armstrong County,2166,2128,2036,2001,2023,2037,1989,1936,1936,1911,1902,1936,1953,1940,1913,1901,1843,1867,1879,1887,both
6,Atascosa County,38805,39828,40767,41306,42109,42495,43059,43611,43947,44623,44965,45504,46438,47021,47715,48363,48720,49083,50322,51153,both
7,Austin County,23836,24341,24818,25388,25976,26331,26828,27454,27935,28254,28363,28604,28562,28679,28968,29471,29629,29722,29965,30032,both
8,Bailey County,6596,6636,6637,6791,6945,7024,7001,6927,6979,7050,7154,7175,7139,7124,6966,7223,7196,7066,7015,7000,both
9,Bandera County,17755,18125,18652,19044,19226,19428,19775,20254,20407,20365,20559,20541,20591,20557,20813,21144,21701,22327,22792,23112,both
10,Bastrop County,58234,61106,63508,65825,67122,68233,69720,71348,72389,73587,74371,75055,74749,75814,77737,80115,82591,84585,86595,88723,both
11,Baylor County,4135,3930,3897,3941,3955,3877,3870,3905,3747,3726,3708,3695,3590,3577,3566,3609,3638,3555,3573,3509,both
12,Bee County,32200,31695,31804,32620,32352,32101,31977,31936,31814,31864,31864,32318,32480,32810,32841,32617,32812,32592,32467,32565,both
13,Bell County,239890,244299,249671,252922,258138,266017,273771,287752,297873,301050,312849,315799,324963,327028,330149,336076,341094,347377,355397,362924,both
14,Bexar County,1398834,1419020,1446755,1469623,1500919,1529270,1573935,1615210,1651709,1685628,1722838,1755361,1788738,1821328,1858003,1894834,1927651,1956988,1981187,2003554,both
15,Blanco County,8495,8776,8950,9096,9337,9554,9686,9835,10061,10315,10498,10567,10616,10636,10805,11029,11301,11481,11648,11931,both
16,Borden County,715,677,685,666,671,638,634,597,612,618,646,632,613,646,665,655,657,670,647,654,both
17,Bosque County,17218,17338,17474,17647,17871,17990,18046,18077,17939,18004,18269,18259,18126,17863,17716,17864,18009,18295,18629,18685,both
18,Bowie County,89156,88942,88813,88839,89055,89239,90235,90456,91349,92231,92638,92808,93030,93374,93268,93050,93424,93458,93688,93245,both
19,Brazoria County,243116,248280,255246,261269,268051,274336,284248,293296,301336,309236,314428,319147,324224,329890,337570,345227,353155,361853,368887,374264,both
20,Brazos County,153145,155533,159297,163279,166150,169824,175433,179472,185098,191434,195666,197450,200260,204116,208975,216258,219739,223917,225781,229211,both
21,Brewster County,8903,8836,8945,9030,9002,8830,8790,8843,8868,9054,9258,9349,9259,9287,9150,9143,9211,9325,9272,9203,both
22,Briscoe County,1796,1764,1746,1763,1768,1726,1704,1647,1651,1634,1633,1659,1576,1562,1552,1514,1483,1514,1512,1546,both
23,Brooks County,7944,7669,7668,7627,7593,7562,7490,7413,7345,7297,7208,7216,7196,7259,7228,7190,7190,7132,7099,7093,both
24,Brown County,37689,37599,37766,37654,37940,38172,38492,38221,38135,38001,38076,38000,37808,37671,37553,37736,38039,37815,37820,37864,both
25,Burleson County,16553,16650,16666,16881,16964,17167,17000,16982,17025,17076,17237,17328,17433,17269,17387,17611,17848,18053,18335,18443,both
26,Burnet County,34505,35741,36850,37776,38966,39798,41109,42026,42477,42611,42762,43216,43377,43580,43954,44734,45817,46600,47344,48155,both
27,Caldwell County,32378,33654,34715,35330,36200,36388,36533,36906,37671,37829,38127,38470,38682,39201,39703,40419,41147,42328,43161,43664,both
28,Calhoun County,20676,20762,20550,20575,20692,20715,20839,20888,21127,21388,21313,21359,21575,21729,21812,21887,21948,21712,21504,21290,both
29,Callahan County,12885,12703,12799,12913,13156,13281,13309,13418,13474,13548,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,both
30,Cameron County,336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,both
31,Camp County,11568,11399,11549,11582,11715,11990,12068,12253,12331,12364,12398,12422,12487,12462,12657,12699,12771,12845,12983,13094,both
32,Carson County,6492,6385,6508,6391,6381,6449,6413,6361,6260,6220,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,both
33,Cass County,30412,30134,30120,30065,30053,30088,30095,30176,30217,30297,30457,30281,30031,30237,30123,30140,30058,29966,30106,30026,both
34,Castro County,8229,8155,8083,8037,7947,7908,7780,7737,7758,7856,8126,8094,8262,8120,7927,7787,7765,7696,7588,7530,both
35,Chambers County,26188,26811,27490,28021,28749,29388,29980,30714,31619,34230,35456,35699,36508,37367,38296,39028,40163,41269,42227,43837,both
36,Cherokee County,46790,47007,47136,47832,48315,48751,49162,49669,49976,50447,50941,51090,51277,51093,51189,51568,51879,52116,52381,52646,both
37,Childress County,7676,7531,7428,7411,7366,7205,7214,7148,7123,7030,7070,7027,7100,7055,7196,7169,7204,7269,7315,7306,both
38,Clay County,11064,11131,11292,11270,11278,11317,11157,11051,10843,10832,10737,10668,10523,10455,10377,10359,10251,10484,10448,10471,both
39,Cochran County,3707,3674,3521,3490,3373,3338,3257,3194,3100,3086,3147,3082,3028,3009,2945,2977,2921,2853,2831,2853,both
40,Coke County,3844,3810,3732,3678,3559,3540,3492,3375,3348,3310,3319,3266,3202,3180,3217,3227,3259,3285,3355,3387,both
41,Coleman County,9180,9103,8937,8827,8817,8739,8853,8774,8899,8867,8870,8743,8667,8526,8416,8316,8412,8399,8367,8175,both
42,Collin County,499118,534642,563565,589394,617802,647187,683935,714330,741264,765791,787614,812540,835230,856398,884688,915243,943742,971864,1004307,1034730,both
43,Collingsworth County,3193,3086,3093,3026,3028,2980,2952,2973,3017,3042,3054,3085,3024,3100,3016,3010,3007,2964,2942,2920,both
44,Colorado County,20326,20125,20328,20507,20450,20493,20608,20648,20818,20784,20872,20806,20724,20717,20696,20951,21081,21291,21305,21493,both
45,Comal County,78583,80630,82797,84837,88119,91018,95637,99540,103272,106350,109306,112113,114873,118627,123214,128795,134343,140721,148141,156209,both
46,Comanche County,13998,13710,13582,13526,13646,13746,13814,13775,13834,13912,13953,13867,13723,13554,13472,13395,13543,13533,13540,13635,both
47,Concho County,3963,3921,3959,3991,4018,4039,3957,4018,4108,4076,4102,4124,4085,4122,4089,4072,4140,2707,2683,2726,both
48,Cooke County,36433,36844,37390,37598,37815,38143,38241,38252,38223,38413,38472,38443,38717,38456,38764,39170,39343,39932,40504,41257,both
49,Coryell County,75199,74083,73135,71364,71943,72610,72217,73324,74552,74673,75651,76625,78458,76761,76166,76145,74803,74760,74741,75951,both
50,Cottle County,1883,1774,1726,1699,1679,1653,1577,1513,1527,1509,1512,1507,1485,1442,1429,1439,1402,1375,1382,1398,both
51,Crane County,3951,3893,3891,3847,3865,3840,3855,3976,4157,4333,4382,4358,4525,4718,4897,4995,4779,4685,4755,4797,both
52,Crockett County,4012,3844,3841,3862,3857,3851,3739,3759,3783,3740,3701,3652,3705,3763,3790,3735,3642,3535,3439,3464,both
53,Crosby County,7053,6955,6852,6718,6625,6521,6466,6262,6192,6057,6026,6044,6036,5924,5825,5918,5911,5849,5764,5737,both
54,Culberson County,2948,2865,2829,2778,2695,2648,2587,2536,2490,2384,2403,2393,2316,2306,2282,2254,2220,2230,2194,2171,both
55,Dallam County,6224,6210,6159,6148,6208,6238,6205,6336,6506,6571,6747,6888,7059,7110,7214,7301,7357,7272,7303,7287,both
56,Dallas County,2220848,2249418,2250326,2246432,2244020,2250830,2275434,2291891,2314018,2346378,2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,both
57,Dawson County,14935,14863,14429,14354,14062,14092,13987,13865,13804,13741,13826,13747,13611,13219,13445,12987,12999,12744,12605,12728,both
58,Deaf Smith County,18515,18391,18439,18454,18671,18737,18770,18916,19054,19084,19467,19522,19373,19180,19123,18825,18846,18753,18711,18546,both
59,Delta County,5323,5295,5366,5310,5409,5314,5355,5199,5252,5180,5242,5147,5242,5120,5142,5159,5147,5276,5332,5331,both
60,Denton County,438791,463688,487617,509732,529811,553669,584561,609001,630104,649702,666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,both
61,DeWitt County,19943,20066,20015,20034,20176,20342,20108,19961,19902,20048,20054,20205,20358,20377,20518,20632,20623,20180,20106,20160,both
62,Dickens County,2724,2653,2679,2670,2641,2563,2466,2461,2400,2423,2447,2401,2322,2297,2215,2204,2193,2190,2218,2211,both
63,Dimmit County,10160,10030,10042,10075,9964,10031,9972,9845,9833,9848,10043,10109,10471,10894,10987,10910,10679,10282,10195,10124,both
64,Donley County,3813,3829,3825,3898,3915,3833,3779,3806,3688,3670,3734,3686,3645,3561,3483,3391,3387,3340,3315,3278,both
65,Duval County,13007,12830,12707,12570,12539,12426,12298,12097,11945,11917,11724,11796,11582,11581,11509,11336,11431,11270,11147,11157,both
66,Eastland County,18296,18061,18252,18333,18442,18533,18545,18636,18520,18497,18594,18582,18459,18279,18257,18152,18240,18294,18319,18360,both
67,Ector County,120694,120802,122199,122739,124163,125378,127476,130459,133064,136930,137075,139642,144495,149656,154588,159903,157858,156951,161960,166223,both
68,Edwards County,2143,2070,2056,2042,2027,2011,1995,2062,2084,2012,1999,1979,1990,1899,1904,1910,1908,1929,1908,1932,both
69,Ellis County,112330,115286,118737,122620,125733,129955,135276,139988,144394,147392,150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,both
70,El Paso County,681729,689163,696446,705200,717652,728095,744795,755578,769930,786759,803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,both
71,Erath County,33057,33045,33619,34131,34887,35336,36355,36678,37137,37594,37912,38922,39405,39886,40514,41191,41372,41723,42223,42698,both
72,Falls County,18522,18280,18090,18086,18066,17990,17945,17712,17698,17762,17891,17848,17570,17242,17210,17216,17276,17340,17231,17297,both
73,Fannin County,31334,31400,31808,32380,32692,33221,33540,33644,33870,33865,33920,33878,33601,33510,33593,33502,33933,34550,35185,35514,both
74,Fayette County,21864,22397,22668,22910,23107,23342,23631,23898,24347,24470,24556,24749,24661,24721,24782,24945,25018,25119,25278,25346,both
75,Fisher County,4340,4257,4242,4191,4118,4135,4098,4080,4065,4014,3959,3947,3838,3859,3874,3877,3877,3874,3821,3830,both
76,Floyd County,7734,7452,7289,7364,7130,6983,6855,6683,6528,6508,6403,6368,6348,6245,5947,5843,5847,5830,5783,5712,both
