,Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
3318,,"Anderson County, TX",48001.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,583.0
3319,,"Andrews County, TX",48003.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,105.0
3320,,"Angelina County, TX",48005.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,784.0
3321,,"Aransas County, TX",48007.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,255.0
3322,,"Archer County, TX",48009.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,66.0
3323,,"Armstrong County, TX",48011.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,25.0
3324,,"Atascosa County, TX",48013.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,324.0
3325,,"Austin County, TX",48015.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,258.0
3326,,"Bailey County, TX",48017.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,62.0
3327,,"Bandera County, TX",48019.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,165.0
3328,,"Bastrop County, TX",48021.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,513.0
3329,,"Baylor County, TX",48023.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,60.0
3330,,"Bee County, TX",48025.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,219.0
3331,,"Bell County, TX",48027.0,2003.0,2003.0,All other alcohol-induced causes,A9,10.0
3332,,"Bell County, TX",48027.0,2003.0,2003.0,All other non-drug and non-alcohol causes,O9,1604.0
3333,,"Bexar County, TX",48029.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0
3334,,"Bexar County, TX",48029.0,2003.0,2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,25.0
3335,,"Bexar County, TX",48029.0,2003.0,2003.0,All other drug-induced causes,D9,54.0
